SKU*,Name,Google Shopping Title,Google Product Category,PLA Product Category,PLA Product Type,Show on Google Feed
RPG03E1, The Pet Loo® - The Original Portable Pet Toilet - 'Kitty Kat' - Small,"PetLoo SMALL.  The Original and Best Pet Loo, Doggy Toilet on the Market Today.  Indoor or Patio use.  All Accessories Available.",Animals & Pet Supplies > Pet Supplies,Pet Loo,Pet Loo,y
RPG04,The Pet Loo - 'Mini Wee' - Medium,"Pet Loo Med. Original & Best Dog Toilet, For Unit, Patio & Indoor Use",Animals & Pet Supplies > Pet Supplies,Pet Loo,Pet Loo,y
RPG04E1,The Pet Loo® - The Original Portable Pet Toilet - 'Mini Wee' - Medium,"Pet Loo Medium.  Original and Best Doggy Toilet, Pet Loo for Patio or Indoor Use",Animals & Pet Supplies > Pet Supplies,Pet Loo,Pet Loo,y
RPG05,The Pet Loo - 'Original' - Large,"Pet Loo Large Original & Best Dog Toilet, For Unit, Patio & Indoor Use",Animals & Pet Supplies > Pet Supplies,Pet Loo,Pet Loo,y
RPG05E1,The Pet Loo® - The Original Portable Pet Toilet - 'Original' - Large,"Pet Loo Large.  Original and Best Doggy Toilet, Pet Loo for Patio or Indoor Use",Animals & Pet Supplies > Pet Supplies,Pet Loo,Pet Loo,y
RPG06,FroliCat BOLT™ - PTY17-14245,FroliCat Bolt Laser light Toy for Cats and Dogs.  Entertain you and your pets for hours with this interactive pet toy.,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Toys,FroliCat,FroliCat,y
RPG061,FroliCat MULTI-LASER Toy - PTY17-15844,FroliCat Multi-Laser Cat Toy,Animals & Pet Supplies>Pet Supplies>Cat Supplies,FroliCat,,y
RPG07,FroliCat™ DART™ - PTY17-14247,FroliCat Dart.  Interactive Laser Light Game for Cats and Dogs.  Hours of Entertainment for Pets and You.,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Toys,FroliCat,FroliCat,y
RPG08,FroliCat™ DART DUO™ - PTY17-14230,"FroliCat Dart Duo.  Double the Lasers, double the Interactive Pet Fun.  ideal if you have 2 cats or dogs.",Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Toys,FroliCat,FroliCat,y
RPG90,Aikiou Interactive Dog Feeder - Blue & Brown,Aikiou Interactive Dog Feeder & Bowl in Blue & Brown,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Interactive Dog Feeder,Aikiou,y
RPG91,Aikiou Interactive Pet Feeder - Pink & Brown,Aikiou Interactive Dog Feeder & Bowl in Pink & Brown,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Interactive Dog Feeder,Aikiou,y
RPG92,Aikiou Cat Stimulo Food Activity Centre,Interactive Cat Feeder - Aikiou Cat Stimulo Food Activity Centre,Animals & Pet Supplies>Pet Supplies>Cat Supplies,Interactive Cat Feeder,Aikiou,y
RPG93,Aikiou Interactive Pet Feeder - Green & Brown,Aikiou Interactive Dog Feeder & Bowl in Green & Brown,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Interactive Dog Feeder,Aikiou,y
